Q,ID,TOOL,Expected,Predicted,ID/OOD DAIV,Loss DAIV,Loss Selforacle,ASS 1,ASS 2,ID/OOD Human,Misclass Human 1,Misclass Human 2,Misclass Humans,ID/OOD Selforacle 9999
24,dj_61_e5_p8,dj,5,8,id,1740.1239013671900,0.24302125,Digit 5,Digit 5,id,1,1,yes,id
25,dj_62_e5_p3,dj,5,3,id,1911.5916748046900,0.21867186,Digit 5,Digit 5,id,1,1,yes,id
25,dj_63_e5_p6,dj,5,6,id,2005.5482177734400,0.11244672,Digit 5,Digit 5,id,1,1,yes,id
26,dj_64_e5_p3,dj,5,3,id,1026.7767333984400,0.16873622,Digit 5,Digit 5,id,1,1,yes,id
26,dj_65_e5_p0,dj,5,0,id,1617.3797607421900,0.19291057,Digit 5,Digit 5,id,1,1,yes,id
27,dj_66_e5_p8,dj,5,8,id,1434.1556396484400,0.19858328,Digit 5,Digit 5,id,1,1,yes,id
27,dj_67_e5_p8,dj,5,8,ood,-7197.7861328125,0.19053906,Digit 5,Digit 5,id,1,1,yes,id
28,dj_68_e5_p3,dj,5,3,id,1817.309326171880,0.20702691,Digit 5,Digit 5,id,1,1,yes,id
28,dj_69_e5_p0,dj,5,0,id,1806.444091796880,0.16331159,Digit 5,Digit 5,id,1,1,yes,id
23,dj_7_e5_p8,dj,5,8,id,2372.31640625,0.1295575,Digit 5,Digit 5,id,1,1,yes,id
29,dj_70_e5_p3,dj,5,3,id,1567.4808349609400,0.2082575,Digit 5,Digit 5,id,1,1,yes,id
29,dj_71_e5_p8,dj,5,8,id,2357.968505859380,0.13513446,Digit 5,Digit 5,id,1,1,yes,id
30,dj_72_e5_p6,dj,5,6,id,1537.3729248046900,0.22083354,Not a digit,Digit 5,?,0,1,N/A,id
30,dj_73_e5_p9,dj,5,9,id,2101.09765625,0.21136971,Digit 5,Digit 5,id,1,1,yes,id
31,dj_74_e5_p3,dj,5,3,id,1991.597900390630,0.18001148,Digit 5,Digit 5,id,1,1,yes,id
31,dj_75_e5_p4,dj,5,4,id,1415.1785888671900,0.21461771,Digit 5,Digit 5,id,1,1,yes,id
32,dj_76_e5_p3,dj,5,3,id,1813.1591796875,0.20698012,Digit 5,Digit 5,id,1,1,yes,id
32,dj_77_e5_p3,dj,5,3,id,989.67919921875,0.24773711,Digit 5,Digit 5,id,1,1,yes,id
33,dj_78_e5_p3,dj,5,3,id,1834.4776611328100,0.17874052,Digit 3,Digit 5,id,0,1,N/A,id
33,dj_79_e5_p3,dj,5,3,id,1618.2685546875,0.23122048,Digit 5,Digit 5,id,1,1,yes,id
34,dj_8_e5_p6,dj,5,6,id,1996.01904296875,0.17593016,Digit 5,Digit 5,id,1,1,yes,id
35,dj_80_e5_p3,dj,5,3,id,1766.5482177734400,0.19240734,Digit 5,Digit 5,id,1,1,yes,id
35,dj_81_e5_p3,dj,5,3,id,2081.27294921875,0.17179084,Digit 5,Digit 5,id,1,1,yes,id
36,dj_82_e5_p6,dj,5,6,id,1638.267333984380,0.19660182,Digit 5,Digit 5,id,1,1,yes,id
36,dj_83_e5_p8,dj,5,8,id,1760.4664306640600,0.23664422,Digit 5,Digit 5,id,1,1,yes,id
37,dj_84_e5_p3,dj,5,3,id,2016.5302734375,0.14940418,Digit 5,Digit 5,id,1,1,yes,id
37,dj_85_e5_p6,dj,5,6,id,1930.5496826171900,0.19036266,Digit 5,Digit 5,id,1,1,yes,id
38,dj_86_e5_p3,dj,5,3,id,1601.75830078125,0.27096096,Digit 5,Digit 5,id,1,1,yes,id
38,dj_87_e5_p4,dj,5,4,id,1905.19189453125,0.22864416,Digit 5,Digit 5,id,1,1,yes,id
39,dj_88_e5_p8,dj,5,8,id,1603.1214599609400,0.2757658,Digit 6,Digit 5,id,0,1,N/A,id
39,dj_89_e5_p4,dj,5,4,id,1998.7205810546900,0.22257207,Digit 5,Digit 5,id,1,1,yes,id
34,dj_9_e5_p3,dj,5,3,id,1706.9539794921900,0.26983693,Digit 5,Digit 5,id,1,1,yes,id
40,dj_90_e5_p4,dj,5,4,id,2276.55322265625,0.14823982,Digit 5,Digit 5,id,1,1,yes,id
40,dj_91_e5_p3,dj,5,3,id,1243.0870361328100,0.19500849,Digit 5,Digit 5,id,1,1,yes,id
41,dj_92_e5_p3,dj,5,3,id,1780.3905029296900,0.2099664,Digit 5,Digit 5,id,1,1,yes,id
41,dj_93_e5_p3,dj,5,3,id,2054.589111328130,0.16873956,Digit 5,Digit 5,id,1,1,yes,id
42,dj_94_e5_p8,dj,5,8,id,1761.38232421875,0.2310806,Digit 5,Digit 5,id,1,1,yes,id
42,dj_95_e5_p3,dj,5,3,id,2011.7386474609400,0.21159597,Digit 5,Digit 5,id,1,1,yes,id
43,dj_96_e5_p6,dj,5,6,id,2009.4649658203100,0.13950402,Digit 5,Digit 5,id,1,1,yes,id
43,dj_97_e5_p2,dj,5,2,id,1005.3204345703100,0.25850108,Digit 5,Digit 5,id,1,1,yes,id
44,dj_98_e5_p3,dj,5,3,id,1851.4339599609400,0.22213566,Digit 5,Digit 5,id,1,1,yes,id
44,dj_99_e5_p3,dj,5,3,id,1560.4273681640600,0.3093188,Digit 5,Digit 5,id,1,1,yes,id
0,dlf_0_e5_p3,dlf,5,3,ood,319.47064208984400,0.36586395,Digit 5,Digit 5,id,1,1,yes,id
1,dlf_1_e5_p8,dlf,5,8,ood,407.83251953125,0.30967513,Digit 5,Digit 5,id,1,1,yes,id
2,dlf_10_e5_p3,dlf,5,3,ood,105.64466857910200,0.3288512,Digit 5,Digit 5,id,1,1,yes,id
3,dlf_11_e5_p3,dlf,5,3,ood,380.6471862792970,0.32057133,Digit 5,Digit 5,id,1,1,yes,id
4,dlf_12_e5_p8,dlf,5,8,ood,-779.9527587890630,0.40063053,Digit 5,Digit 5,id,1,1,yes,id
5,dlf_13_e5_p9,dlf,5,9,ood,304.40277099609400,0.36731088,Digit 5,Digit 5,id,1,1,yes,id
6,dlf_14_e5_p3,dlf,5,3,id,639.0511474609380,0.33683306,Digit 5,Digit 5,id,1,1,yes,id
7,dlf_15_e5_p8,dlf,5,8,ood,533.9391479492190,0.36579168,Digit 5,Digit 5,id,1,1,yes,id
8,dlf_16_e5_p3,dlf,5,3,id,656.1026000976560,0.37351862,Digit 5,Not a digit,?,1,0,N/A,id
9,dlf_17_e5_p3,dlf,5,3,ood,375.4137878417970,0.42506456,Digit 5,Digit 5,id,1,1,yes,id
10,dlf_18_e5_p3,dlf,5,3,id,1079.0855712890600,0.23258655,Digit 5,Digit 5,id,1,1,yes,id
11,dlf_19_e5_p3,dlf,5,3,ood,476.7193603515630,0.4430982,Digit 5,Digit 5,id,1,1,yes,id
12,dlf_2_e5_p8,dlf,5,8,ood,-1721.9989013671900,0.2987914,Digit 5,Digit 5,id,1,1,yes,id
13,dlf_20_e5_p3,dlf,5,3,ood,-890.8040161132810,0.3042758,Digit 5,Digit 5,id,1,1,yes,id
14,dlf_21_e5_p8,dlf,5,8,id,558.1763916015630,0.39122698,Digit 5,Digit 5,id,1,1,yes,id
15,dlf_22_e5_p3,dlf,5,3,ood,183.64503479003900,0.2941245,Digit 5,Digit 5,id,1,1,yes,id
16,dlf_23_e5_p3,dlf,5,3,id,1091.66943359375,0.2525923,Digit 5,Digit 5,id,1,1,yes,id
17,dlf_24_e5_p3,dlf,5,3,id,964.1508178710940,0.27191243,Digit 5,Digit 5,id,1,1,yes,id
18,dlf_25_e5_p3,dlf,5,3,id,666.8338012695310,0.31825948,Digit 5,Digit 5,id,1,1,yes,id
19,dlf_26_e5_p3,dlf,5,3,ood,-420.8253173828130,0.3555316,Digit 5,Digit 5,id,1,1,yes,id
20,dlf_27_e5_p7,dlf,5,7,id,709.53076171875,0.33682248,Digit 5,Digit 5,id,1,1,yes,id
21,dlf_28_e5_p0,dlf,5,0,ood,-311.4767761230470,0.33343643,Digit 5,Digit 5,id,1,1,yes,id
22,dlf_29_e5_p3,dlf,5,3,id,669.9630737304690,0.32933596,Digit 5,Digit 5,id,1,1,yes,id
23,dlf_3_e5_p6,dlf,5,6,ood,101.52039337158200,0.38554072,Digit 5,Digit 5,id,1,1,yes,id
24,dlf_30_e5_p6,dlf,5,6,id,571.0662841796880,0.306731,Digit 5,Digit 5,id,1,1,yes,id
25,dlf_31_e5_p9,dlf,5,9,id,586.5597534179690,0.34174693,Digit 5,Digit 5,id,1,1,yes,id
26,dlf_32_e5_p3,dlf,5,3,id,635.1726684570310,0.38212213,Digit 5,Digit 5,id,1,1,yes,id
27,dlf_33_e5_p7,dlf,5,7,id,936.6893920898440,0.22500992,Digit 5,Digit 5,id,1,1,yes,id
28,dlf_34_e5_p3,dlf,5,3,ood,509.73223876953100,0.36018145,Digit 5,Digit 5,id,1,1,yes,id
29,dlf_35_e5_p3,dlf,5,3,ood,-243.41854858398400,0.3460293,Digit 5,Digit 5,id,1,1,yes,id
30,dlf_36_e5_p7,dlf,5,7,id,799.4257202148440,0.29578128,Digit 5,Digit 5,id,1,1,yes,id
31,dlf_37_e5_p3,dlf,5,3,ood,-1118.7772216796900,0.34637576,Digit 5,Digit 5,id,1,1,yes,id
32,dlf_38_e5_p3,dlf,5,3,id,627.7047119140630,0.3945789,Digit 5,Digit 5,id,1,1,yes,id
33,dlf_39_e5_p3,dlf,5,3,ood,-998.5556640625,0.3365518,Digit 5,Digit 5,id,1,1,yes,id
34,dlf_4_e5_p3,dlf,5,3,id,1070.779296875,0.26653737,Digit 5,Digit 5,id,1,1,yes,id
35,dlf_40_e5_p8,dlf,5,8,ood,-262.65655517578100,0.3278038,Digit 5,Digit 5,id,1,1,yes,id
36,dlf_41_e5_p8,dlf,5,8,ood,-451.12103271484400,0.37001482,Digit 5,Digit 5,id,1,1,yes,id
37,dlf_42_e5_p8,dlf,5,8,id,556.404541015625,0.35506174,Digit 5,Digit 5,id,1,1,yes,id
38,dlf_43_e5_p3,dlf,5,3,ood,329.03369140625,0.41229388,Digit 5,Digit 5,id,1,1,yes,id
39,dlf_44_e5_p8,dlf,5,8,ood,-1562.939453125,0.29172036,Digit 5,Digit 5,id,1,1,yes,id
40,dlf_45_e5_p8,dlf,5,8,ood,209.01788330078100,0.36414868,Digit 5,Digit 5,id,1,1,yes,id
41,dlf_46_e5_p3,dlf,5,3,ood,294.357421875,0.31101197,Digit 5,Digit 5,id,1,1,yes,id
42,dlf_47_e5_p3,dlf,5,3,id,575.770263671875,0.38857776,Digit 5,Digit 5,id,1,1,yes,id
43,dlf_48_e5_p7,dlf,5,7,id,699.4369506835940,0.36401862,Digit 5,Digit 5,id,1,1,yes,id
44,dlf_49_e5_p3,dlf,5,3,ood,431.04803466796900,0.45384422,Digit 5,Digit 5,id,1,1,yes,id
45,dlf_5_e5_p3,dlf,5,3,id,986.314697265625,0.2836945,Digit 5,Digit 5,id,1,1,yes,id
0,dlf_50_e5_p4,dlf,5,4,ood,-408.89111328125,0.33284354,Digit 5,Digit 5,id,1,1,yes,id
1,dlf_51_e5_p3,dlf,5,3,ood,-3313.88232421875,0.34075117,Digit 5,Digit 5,id,1,1,yes,id
12,dlf_52_e5_p8,dlf,5,8,ood,108.1209487915040,0.35212547,Digit 5,Digit 5,id,1,1,yes,id
23,dlf_53_e5_p7,dlf,5,7,id,715.902099609375,0.31980735,Digit 5,Digit 5,id,1,1,yes,id
34,dlf_54_e5_p3,dlf,5,3,id,666.5922241210940,0.3541078,Digit 5,Digit 5,id,1,1,yes,id
45,dlf_55_e5_p9,dlf,5,9,ood,540.639404296875,0.3686719,Digit 5,Digit 5,id,1,1,yes,id
46,dlf_56_e5_p0,dlf,5,0,ood,69.56937408447270,0.31909102,Digit 5,Digit 5,id,1,1,yes,id
47,dlf_57_e5_p8,dlf,5,8,ood,-1958.81298828125,0.37078658,Digit 5,Digit 5,id,1,1,yes,id
48,dlf_58_e5_p8,dlf,5,8,ood,-1102.660888671880,0.26605248,Digit 5,Digit 5,id,1,1,yes,id
49,dlf_59_e5_p3,dlf,5,3,ood,456.3813781738280,0.41145733,Digit 5,Digit 5,id,1,1,yes,id
46,dlf_6_e5_p4,dlf,5,4,ood,-127.96531677246100,0.36692187,Digit 5,Digit 5,id,1,1,yes,id
2,dlf_60_e5_p6,dlf,5,6,ood,-1501.182861328130,0.3212918,Digit 5,Digit 5,id,1,1,yes,id
3,dlf_61_e5_p3,dlf,5,3,id,709.1099243164060,0.32005686,Digit 5,Digit 5,id,1,1,yes,id
4,dlf_62_e5_p7,dlf,5,7,id,748.2846069335940,0.3087363,Digit 5,Digit 5,id,1,1,yes,id
5,dlf_63_e5_p3,dlf,5,3,id,638.3621215820310,0.39153036,Digit 5,Digit 5,id,1,1,yes,id
6,dlf_64_e5_p2,dlf,5,2,ood,486.6168212890630,0.24698588,Digit 5,Digit 5,id,1,1,yes,id
7,dlf_65_e5_p3,dlf,5,3,ood,213.4367218017580,0.43543127,Digit 5,Digit 5,id,1,1,yes,id
8,dlf_66_e5_p8,dlf,5,8,ood,-813.13623046875,0.27305642,Digit 5,Digit 5,id,1,1,yes,id
9,dlf_67_e5_p8,dlf,5,8,ood,-878.6035766601560,0.32150525,Digit 5,Digit 5,id,1,1,yes,id
10,dlf_68_e5_p3,dlf,5,3,id,1039.1494140625,0.28839695,Digit 5,Digit 5,id,1,1,yes,id
11,dlf_69_e5_p3,dlf,5,3,ood,459.51336669921900,0.4420231,Digit 5,Digit 5,id,1,1,yes,id
47,dlf_7_e5_p3,dlf,5,3,id,655.1241455078130,0.36575568,Digit 5,Digit 5,id,1,1,yes,id
13,dlf_70_e5_p3,dlf,5,3,ood,543.2190551757810,0.4348311,Digit 5,Digit 5,id,1,1,yes,id
14,dlf_71_e5_p2,dlf,5,2,ood,-673.3271484375,0.37503296,Digit 5,Digit 5,id,1,1,yes,id
15,dlf_72_e5_p3,dlf,5,3,id,597.64794921875,0.3473394,Digit 5,Digit 5,id,1,1,yes,id
16,dlf_73_e5_p3,dlf,5,3,id,585.3726196289060,0.3879467,Digit 5,Digit 5,id,1,1,yes,id
17,dlf_74_e5_p9,dlf,5,9,id,575.0746459960940,0.4131065,Digit 5,Digit 5,id,1,1,yes,id
18,dlf_75_e5_p2,dlf,5,2,ood,-1075.020263671880,0.35648546,Digit 5,Digit 5,id,1,1,yes,id
19,dlf_76_e5_p3,dlf,5,3,id,779.3857421875,0.34961665,Digit 5,Digit 5,id,1,1,yes,id
20,dlf_77_e5_p3,dlf,5,3,id,689.0484008789060,0.3634397,Digit 5,Digit 5,id,1,1,yes,id
21,dlf_78_e5_p0,dlf,5,0,ood,241.86276245117200,0.38346317,Digit 5,Digit 5,id,1,1,yes,id
22,dlf_79_e5_p3,dlf,5,3,ood,272.24810791015600,0.3397954,Digit 5,Digit 5,id,1,1,yes,id
48,dlf_8_e5_p3,dlf,5,3,id,601.2752685546880,0.36073813,Digit 5,Digit 5,id,1,1,yes,id
24,dlf_80_e5_p8,dlf,5,8,ood,475.4915771484380,0.37869334,Digit 5,Digit 5,id,1,1,yes,id
25,dlf_81_e5_p6,dlf,5,6,ood,382.4715270996090,0.28454447,Digit 5,Digit 5,id,1,1,yes,id
26,dlf_82_e5_p6,dlf,5,6,ood,369.3858642578130,0.40845942,Digit 5,Digit 5,id,1,1,yes,id
27,dlf_83_e5_p3,dlf,5,3,ood,-2480.39697265625,0.344082,Digit 5,Digit 5,id,1,1,yes,id
28,dlf_84_e5_p9,dlf,5,9,id,629.4600219726560,0.3213237,Digit 5,Digit 5,id,1,1,yes,id
29,dlf_85_e5_p3,dlf,5,3,id,563.378662109375,0.28484416,Digit 5,Digit 5,id,1,1,yes,id
30,dlf_86_e5_p3,dlf,5,3,id,918.836181640625,0.24308306,Digit 5,Digit 5,id,1,1,yes,id
31,dlf_87_e5_p6,dlf,5,6,ood,278.5874938964840,0.34430313,Digit 5,Digit 5,id,1,1,yes,id
32,dlf_88_e5_p3,dlf,5,3,ood,423.2108154296880,0.3308679,Digit 5,Digit 5,id,1,1,yes,id
33,dlf_89_e5_p3,dlf,5,3,id,621.3389892578130,0.37913156,Digit 5,Digit 5,id,1,1,yes,id
49,dlf_9_e5_p3,dlf,5,3,id,580.4871215820310,0.31211087,Digit 5,Digit 8,id,1,0,N/A,id
35,dlf_90_e5_p3,dlf,5,3,id,570.2560424804690,0.4179314,Digit 5,Digit 5,id,1,1,yes,id
36,dlf_91_e5_p3,dlf,5,3,ood,466.5282287597660,0.41917658,Digit 5,Digit 5,id,1,1,yes,id
37,dlf_92_e5_p3,dlf,5,3,ood,339.4805908203130,0.40226683,Digit 5,Digit 5,id,1,1,yes,id
38,dlf_93_e5_p3,dlf,5,3,ood,-445.349853515625,0.36354318,Digit 5,Digit 5,id,1,1,yes,id
39,dlf_94_e5_p3,dlf,5,3,id,562.1941528320310,0.40958452,Digit 5,Digit 5,id,1,1,yes,id
40,dlf_95_e5_p0,dlf,5,0,ood,241.0296630859380,0.37142956,Digit 5,Digit 5,id,1,1,yes,id
41,dlf_96_e5_p8,dlf,5,8,id,615.2175903320310,0.3340576,Digit 5,Digit 5,id,1,1,yes,id
42,dlf_97_e5_p3,dlf,5,3,ood,-2349.060302734380,0.30845404,Digit 5,Digit 5,id,1,1,yes,id
43,dlf_98_e5_p3,dlf,5,3,ood,-1561.019287109380,0.32655793,Digit 5,Digit 5,id,1,1,yes,id
44,dlf_99_e5_p3,dlf,5,3,ood,146.13296508789100,0.33036947,Digit 5,Digit 5,id,1,1,yes,id
0,dx_0_occl_e5_p3,dx,5,3,ood,-2487.18310546875,0.86639065,Digit 5,Digit 5,id,1,1,yes,ood
1,dx_1_occl_e5_p3,dx,5,3,ood,-5789.5791015625,0.39863178,Digit 5,Digit 5,id,1,1,yes,id
2,dx_10_occl_e5_p3,dx,5,3,ood,-52584.03125,0.94134754,Digit 5,Digit 5,id,1,1,yes,ood
3,dx_11_occl_e5_p3,dx,5,3,ood,-692.0230102539060,0.71824586,Digit 5,Digit 5,id,1,1,yes,ood
4,dx_12_occl_e5_p3,dx,5,3,ood,-123110.078125,1.1555123,Digit 5,Digit 5,id,1,1,yes,ood
5,dx_13_occl_e5_p3,dx,5,3,ood,-1701.048095703130,0.94465435,Digit 5,Digit 5,id,1,1,yes,ood
6,dx_14_occl_e5_p7,dx,5,7,ood,71.23895263671880,0.33096656,Digit 5,Digit 5,id,1,1,yes,id
7,dx_15_occl_e5_p3,dx,5,3,ood,-7898.00830078125,0.9950782,Digit 5,Digit 5,id,1,1,yes,ood
8,dx_16_occl_e5_p3,dx,5,3,ood,-635.1704711914060,0.68570787,Digit 5,Digit 5,id,1,1,yes,ood
9,dx_17_occl_e5_p3,dx,5,3,ood,-126611.8828125,1.3012315,Digit 5,Digit 5,id,1,1,yes,ood
10,dx_18_occl_e5_p3,dx,5,3,ood,-14161.869140625,1.0433348,Digit 5,Digit 5,id,1,1,yes,ood
11,dx_19_occl_e5_p7,dx,5,7,ood,-11882.7158203125,0.566696,Digit 5,Digit 5,id,1,1,yes,ood
12,dx_2_occl_e5_p3,dx,5,3,ood,-4032.58837890625,0.94849294,Digit 5,Digit 5,id,1,1,yes,ood
13,dx_20_occl_e5_p3,dx,5,3,ood,-2250.298583984380,0.51296675,Digit 5,Digit 5,id,1,1,yes,ood
14,dx_21_occl_e5_p3,dx,5,3,ood,-530296.6875,1.5649927,Digit 5,Digit 5,id,1,1,yes,ood
15,dx_22_occl_e5_p7,dx,5,7,ood,-52.180938720703100,0.39138958,Digit 5,Digit 5,id,1,1,yes,id
16,dx_23_occl_e5_p3,dx,5,3,ood,-14205.5390625,0.8422786,Digit 5,Digit 5,id,1,1,yes,ood
17,dx_24_occl_e5_p3,dx,5,3,ood,-15017.4580078125,0.8137699,Digit 5,Digit 5,id,1,1,yes,ood
18,dx_25_occl_e5_p3,dx,5,3,ood,-828.0735473632810,0.84978265,Digit 5,Digit 5,id,1,1,yes,ood
19,dx_26_occl_e5_p3,dx,5,3,ood,-10280.162109375,0.97358906,Digit 5,Digit 5,id,1,1,yes,ood
20,dx_27_occl_e5_p3,dx,5,3,ood,-1933.3919677734400,0.8285809,Digit 5,Digit 5,id,1,1,yes,ood
21,dx_28_occl_e5_p3,dx,5,3,ood,-2757.836181640630,0.8885898,Digit 5,Digit 5,id,1,1,yes,ood
22,dx_29_occl_e5_p3,dx,5,3,ood,-1068.7962646484400,0.736442,Digit 5,Digit 5,id,1,1,yes,ood
23,dx_3_occl_e5_p3,dx,5,3,ood,-14956.08203125,1.0224563,Digit 5,Digit 5,id,1,1,yes,ood
24,dx_30_occl_e5_p3,dx,5,3,ood,-66668.6171875,0.95078784,Digit 5,Digit 5,id,1,1,yes,ood
