Q,ID,TOOL,Expected,Predicted,ID/OOD DAIV,Loss DAIV,Loss Selforacle,ASS 1,ASS 2,ID/OOD Human,Misclass Human 1,Misclass Human 2,Misclass Humans,ID/OOD Selforacle 9999
9,ox_18_e963_p959,ox,"pizza, pizza pie",carbonara,id,51564.45703125,152.14594,Pizza,Pizza,id,1,1,yes,id
9,ox_19_e963_p964,ox,"pizza, pizza pie",potpie,id,58620.1171875,173.28104,Pizza,Pizza,id,1,1,yes,id
1,ox_2_e963_p567,ox,"pizza, pizza pie","frying pan, frypan, skillet",id,45559.921875,157.07127,Pizza,Pizza,id,1,1,yes,id
1,ox_3_e963_p567,ox,"pizza, pizza pie","frying pan, frypan, skillet",id,50812.015625,140.79697,Pizza,Pizza,id,1,1,yes,id
2,ox_4_e963_p931,ox,"pizza, pizza pie","bagel, beigel",id,59505.42578125,94.9861,Pizza,Pizza,id,1,1,yes,id
2,ox_5_e963_p567,ox,"pizza, pizza pie","frying pan, frypan, skillet",id,60824.625,164.72916,Pizza,Pizza,id,1,1,yes,id
3,ox_6_e963_p959,ox,"pizza, pizza pie",carbonara,id,45772.828125,225.95041,Pizza,Pizza,id,1,1,yes,id
3,ox_7_e963_p932,ox,"pizza, pizza pie",pretzel,id,73232.6953125,97.799255,Pizza,Pizza,id,1,1,yes,id
4,ox_8_e963_p941,ox,"pizza, pizza pie",acorn squash,id,64327.66015625,118.604,Pizza,Pizza,id,1,1,yes,id
4,ox_9_e963_p959,ox,"pizza, pizza pie",carbonara,id,45811.9921875,163.42474,Pizza,Pizza,id,1,1,yes,id
0,sv_0_e963_p415,sv,"pizza, pizza pie","bakery, bakeshop, bakehouse",id,73661.78125,114.45923,Pizza,Pizza,id,1,1,yes,id
0,sv_1_e963_p415,sv,"pizza, pizza pie","bakery, bakeshop, bakehouse",id,67948.578125,88.08121,Bakery,Another object,id,0,0,no,id
5,sv_10_e963_p962,sv,"pizza, pizza pie","meat loaf, meatloaf",id,67406.8671875,72.091866,Another object,No real-world objects,?,0,0,no,id
5,sv_11_e963_p964,sv,"pizza, pizza pie",potpie,id,128730.765625,29.672771,Pizza,Pizza,id,1,1,yes,id
6,sv_12_e963_p960,sv,"pizza, pizza pie","chocolate sauce, chocolate syrup",id,59514.26953125,155.43614,No real-world objects,Chocolate sauce,?,0,0,no,id
6,sv_13_e963_p643,sv,"pizza, pizza pie",mask,id,75460.7421875,174.83339,No real-world objects,No real-world objects,ood,0,0,no,id
7,sv_14_e963_p499,sv,"pizza, pizza pie","cleaver, meat cleaver, chopper",id,66557.9453125,131.60362,No real-world objects,Meat cleaver,?,0,0,no,id
7,sv_15_e963_p415,sv,"pizza, pizza pie","bakery, bakeshop, bakehouse",id,86028.984375,59.269737,No real-world objects,Bakery,?,0,0,no,id
8,sv_16_e963_p835,sv,"pizza, pizza pie",sundial,id,51633.63671875,157.47806,No real-world objects,No real-world objects,ood,0,0,no,id
8,sv_17_e963_p539,sv,"pizza, pizza pie","doormat, welcome mat",id,59087.296875,102.84523,No real-world objects,Doormat,?,0,0,no,id
9,sv_18_e963_p415,sv,"pizza, pizza pie","bakery, bakeshop, bakehouse",id,54760.9140625,140.99646,Pizza,No real-world objects,?,1,0,N/A,id
9,sv_19_e963_p809,sv,"pizza, pizza pie",soup bowl,id,55233.640625,115.01152,Pizza,Pizza,id,1,1,yes,id
1,sv_2_e963_p611,sv,"pizza, pizza pie",jigsaw puzzle,id,48287.69921875,192.93585,Pizza,No real-world objects,?,1,0,N/A,id
1,sv_3_e963_p960,sv,"pizza, pizza pie","chocolate sauce, chocolate syrup",id,55602.1171875,158.03806,No real-world objects,No real-world objects,ood,0,0,no,id
2,sv_4_e963_p927,sv,"pizza, pizza pie",trifle,id,77143.8671875,81.5817,Pizza,Pizza,id,1,1,yes,id
2,sv_5_e963_p549,sv,"pizza, pizza pie",envelope,id,62190.125,108.66554,Pizza,Pizza,id,1,1,yes,id
3,sv_6_e963_p927,sv,"pizza, pizza pie",trifle,id,89775.0,48.79912,No real-world objects,Another object,ood,0,0,no,id
3,sv_7_e963_p927,sv,"pizza, pizza pie",trifle,id,73683.359375,78.12159,No real-world objects,Another object,?,0,0,no,id
4,sv_8_e963_p509,sv,"pizza, pizza pie","confectionery, confectionary, candy store",id,64712.6796875,83.08923,No real-world objects,Candy Store,?,0,0,no,id
4,sv_9_e963_p930,sv,"pizza, pizza pie",French loaf,id,85043.15625,107.53832,No real-world objects,French loaf,?,0,0,no,id
